Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline Location,Pipeline Type,Liquid Type,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,All Costs,Address,City,County,State
2014,2/10/2014 11:00 AM,31174,"SHELL PIPELINE CO., L.P.",ONSHORE,UNDERGROUND,CRUDE OIL,CHANNELVIEW,HARRIS,TX,29.819151,-95.15463199999999,CORROSION,INTERNAL,20.0,20.0,0.0,NO,NO,YES,661000,"{'hamlet': 'Cloverleaf', 'county': 'Harris County', 'state': 'Texas', 'postcode': '77049', 'country': 'United States of America', 'country_code': 'us', 1: 'Harris County', 2: 'Texas'}",,Alfalfa,Oklahoma
2014,2/12/2014 7:15 AM,32109,"ONEOK NGL PIPELINE, LLC",ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",CARMEN,ALFALFA,OK,36.6093,-98.51248000000001,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,321.5,0.0,321.5,NO,NO,YES,15220,"{'road': 'E0280 Road', 'county': 'Alfalfa County', 'state': 'Oklahoma', 'postcode': '73726', 'country': 'United States of America', 'country_code': 'us', 1: 'Alfalfa County', 2: 'Oklahoma'}",,Wood,Texas
2014,2/12/2014 10:15 AM,300,"PLAINS PIPELINE, L.P.",ONSHORE,ABOVEGROUND,CRUDE OIL,,WOOD,TX,32.83256,-95.48886999999999,CORROSION,INTERNAL,5.0,5.0,0.0,NO,NO,NO,30200,"{'county': 'Wood County', 'state': 'Texas', 'postcode': '75753', 'country': 'United States of America', 'country_code': 'us', 1: 'Wood County', 2: 'Texas'}",Hammond,Lake,Indiana
2014,2/12/2014 2:00 PM,4805,EXPLORER PIPELINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",HAMMOND,LAKE,IN,41.60766736,-87.43874523,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.2,0.2,0.0,NO,NO,NO,765,"{'road': 'West 5th Avenue', 'neighbourhood': 'Eastgate', 'hamlet': 'Gibson', 'town': 'Hammond', 'county': 'Lake County', 'state': 'Indiana', 'postcode': '46402', 'country': 'United States of America', 'country_code': 'us', 1: 'Lake County', 2: 'Indiana'}",Brooklyn,Cuyahoga,Ohio
2014,2/12/2014 2:05 PM,1845,"BUCKEYE PARTNERS, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",CLEVELAND,CUYAHOGA,OH,41.421858,-81.761444,NATURAL FORCE DAMAGE,EARTH MOVEMENT,7.14,7.14,0.0,NO,NO,YES,200357,"{'amenity': 'Cracker Barrel', 'road': 'Tiedeman Road', 'retail': 'Cascade Crossing', 'town': 'Brooklyn', 'county': 'Cuyahoga County', 'state': 'Ohio', 'postcode': '44144', 'country': 'United States of America', 'country_code': 'us', 1: 'Cuyahoga County', 2: 'Ohio'}",,McKenzie,North Dakota
2014,2/13/2014 1:26 PM,32296,TARGA RESOURCES OPERATING LLC,ONSHORE,UNDERGROUND,CRUDE OIL,ALEXANDER,MCKENZIE,ND,47.96935,-103.62392,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,800.0,800.0,0.0,NO,NO,YES,885000,"{'county': 'McKenzie County', 'state': 'North Dakota', 'country': 'United States of America', 'country_code': 'us', 1: 'McKenzie County', 2: 'North Dakota'}",,Walworth,Wisconsin
2014,2/13/2014 2:10 PM,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",ONSHORE,ABOVEGROUND,CRUDE OIL,WALWORTH,WALWORTH,WI,42.53934,-88.6345,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.24,0.24,0.0,NO,NO,NO,2500,"{'county': 'Walworth County', 'state': 'Wisconsin', 'country': 'United States of America', 'country_code': 'us', 1: 'Walworth County', 2: 'Wisconsin'}",,Marion,Illinois
2014,2/14/2014 7:36 AM,12628,MOBIL  PIPE  LINE COMPANY,ONSHORE,ABOVEGROUND,CRUDE OIL,PATOKA,MARION,IL,38.776587,-89.084633,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.26,0.26,0.0,NO,NO,NO,5025,"{'industrial': 'Patoka Terminal', 'county': 'Marion County', 'state': 'Illinois', 'postcode': '62892', 'country': 'United States of America', 'country_code': 'us', 1: 'Marion County', 2: 'Illinois'}",China Grove,Scurry,Texas
2014,2/14/2014 9:00 AM,300,"PLAINS PIPELINE, L.P.",ONSHORE,TANK,CRUDE OIL,HERMLEIGH,SCURRY,TX,32.5374,-100.8358,CORROSION,INTERNAL,10.0,10.0,0.0,NO,NO,NO,32257,"{'road': 'County Road 4157', 'hamlet': 'China Grove', 'county': 'Scurry County', 'state': 'Texas', 'country': 'United States of America', 'country_code': 'us', 1: 'Scurry County', 2: 'Texas'}",Willeford,Williamson,Illinois
2014,2/14/2014 1:30 PM,31618,ENTERPRISE PRODUCTS OPERATING LLC,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",CREAL SPRINGS,WILLIAMSON,IL,37.643839,-88.878198,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.28,0.28,0.0,NO,NO,NO,6336,"{'road': 'Doron Road', 'hamlet': 'Willeford', 'county': 'Williamson County', 'state': 'Illinois', 'postcode': '62922', 'country': 'United States of America', 'country_code': 'us', 1: 'Williamson County', 2: 'Illinois'}",Olathe,Johnson,Kansas
2014,2/15/2014 10:00 AM,22610,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",OLATHE,JOHNSON,KS,38.881440000000005,-94.7452,NATURAL FORCE DAMAGE,TEMPERATURE,7.3,7.3,0.0,NO,NO,NO,214140,"{'road': 'West 138th Street', 'city': 'Olathe', 'county': 'Johnson County', 'state': 'Kansas', 'postcode': '66062', 'country': 'United States of America', 'country_code': 'us', 0: 'Olathe', 1: 'Johnson County', 2: 'Kansas'}",Amarillo,Potter,Texas
2014,2/16/2014 7:00 AM,31684,PHILLIPS 66 PIPELINE LLC,ONSHORE,ABOVEGROUND,BIOFUEL / ALTERNATIVE FUEL(INCLUDING ETHANOL BLENDS),AMARILLO ,POTTER,TX,35.265278,-101.890833,INCORRECT OPERATION,INCORRECT EQUIPMENT,3.5,3.5,0.0,NO,NO,NO,1000,"{'house_number': '4336', 'road': 'Cliffside Road', 'village': 'Amarillo', 'county': 'Potter County', 'state': 'Texas', 'postcode': '79124', 'country': 'United States of America', 'country_code': 'us', 1: 'Potter County', 2: 'Texas'}",Lima,Allen,Ohio
2014,2/17/2014 7:30 AM,12470,MID - VALLEY PIPELINE CO,ONSHORE,ABOVEGROUND,CRUDE OIL,LIMA,ALLEN,OH,40.70825,-84.12206,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.17,0.17,0.0,NO,NO,YES,5136,"{'house_number': '926', 'road': 'Buckeye Road', 'city': 'Lima', 'county': 'Allen County', 'state': 'Ohio', 'postcode': '45804', 'country': 'United States of America', 'country_code': 'us', 0: 'Lima', 1: 'Allen County', 2: 'Ohio'}",,Johnson,Iowa
