Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline Location,Pipeline Type,Liquid Type,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,All Costs
2013,7/25/2013 4:30 PM,32258,KINDER MORGAN COCHIN LLC,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",WHEATON,TRAVERSE,MN,45.883706,-96.492211,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.0,0.0,0.0,YES,NO,NO,0
2013,7/26/2013 8:00 AM,31189,BP PIPELINE (NORTH AMERICA) INC.,ONSHORE,UNDERGROUND,CRUDE OIL,COPAN,OSAGE,OK,36.927591,-96.052414,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,535.0,535.0,0.0,NO,NO,YES,1996000
2013,7/27/2013 8:31 AM,31618,ENTERPRISE PRODUCTS OPERATING LLC,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",VAUGHN,GUADALUPE,NM,34.421537,-105.224281,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.2,1.2,0.0,NO,NO,NO,16200
2013,7/27/2013 10:00 AM,31555,KINDER MORGAN CO2 CO. LP,ONSHORE,ABOVEGROUND,CO2 (CARBON DIOXIDE),FORSAN,HOWARD,TX,32.10503,-101.46051999999999,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,2.8,0.0,2.8,NO,NO,,1200
2013,7/29/2013 12:00 AM,31570,TESORO HIGH PLAINS PIPELINE COMPANY LLC,ONSHORE,UNDERGROUND,CRUDE OIL,,MOUNTRAIL,ND,48.524251,-102.856912,NATURAL FORCE DAMAGE,LIGHTNING,20600.0,5856.0,14744.0,NO,NO,YES,16986690
2013,7/29/2013 2:30 PM,2552,COLONIAL PIPELINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GREENSBORO,GUILFORD,NC,36.07123064,-79.93686505,CORROSION,INTERNAL,28.4,28.4,0.0,NO,NO,NO,107500
2013,7/30/2013 9:00 AM,31580,"MAGELLAN TERMINALS HOLDINGS, LP",ONSHORE,ABOVEGROUND,CRUDE OIL,CUSHING,PAYNE,OK,35.947540000000004,-96.74449,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.47,0.47,0.0,NO,NO,NO,3000
2013,7/30/2013 10:00 AM,300,"PLAINS PIPELINE, L.P.",ONSHORE,ABOVEGROUND,CRUDE OIL,BUCKEYE (LOVINGTON),LEA,NM,32.726111100000004,-103.2997222,OTHER OUTSIDE FORCE DAMAGE,INTENTIONAL DAMAGE,2.0,2.0,0.0,NO,NO,YES,2000
2013,7/31/2013 12:21 PM,32099,ENERGY TRANSFER COMPANY,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",YORKTOWN,DEWITT,TX,29.04464,-97.49499,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,12.5,0.0,12.5,YES,NO,YES,935525
2013,7/31/2013 2:00 PM,31618,ENTERPRISE PRODUCTS OPERATING LLC,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",BAYTOWN,HARRIS,TX,29.765054,-95.0124,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.1,0.0,0.1,YES,NO,NO,0
2013,8/1/2013 12:55 AM,20160,"PETROLOGISTICS OLEFINS, LLC",ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",BREAUX BRIDGE,ST. MARTIN,LA,30.155076,-91.563535,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,5.0,0.0,5.0,NO,NO,YES,2020
2013,8/1/2013 9:40 AM,31618,ENTERPRISE PRODUCTS OPERATING LLC,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",TRIMONT,MARTIN,MN,43.785070000000005,-94.62481700000001,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.2,0.0,0.2,NO,NO,NO,46300
